ID,Beer,Attribute,Answer,Beer_order,Attribute_order,Attribute_order_absolute
ID_7038_38_14__10_29_11,Sebastian,Rugbrød,4,1,1,1
ID_7038_38_14__10_29_11,Sebastian,Karamel,3,1,2,2
ID_7038_38_14__10_29_11,Sebastian,Humlet,1,1,3,3
ID_7038_38_14__10_29_11,Sebastian,Røget,2,1,4,4
ID_7038_38_14__10_29_11,Sebastian,Gran,5,1,5,5
ID_7038_38_14__10_29_11,Sebastian,Kompleks,5,1,6,6
ID_7038_38_14__10_29_11,Sebastian,Harmonisk,5,1,7,7
ID_7038_38_14__10_29_11,Sebastian,Syrlig,3,1,8,8
ID_7038_38_14__10_29_11,Sebastian,Vandet,3,1,9,9
ID_7038_38_14__10_29_11,Sebastian,Olie,2,1,10,10
ID_7038_38_14__10_29_11,Sebastian,Spiritus,3,1,11,11
ID_7038_38_14__10_29_11,Sebastian,Lakrids,1,1,12,12
ID_7038_38_14__10_29_11,Sebastian,Maltede,4,1,13,13
ID_7038_38_14__10_29_11,Sebastian,Rund,2,1,14,14
ID_7038_38_14__10_29_11,Sebastian,Eftersmag,2,1,15,15
ID_7038_38_14__10_29_11,Sebastian,Tør,0,1,16,16
ID_7038_38_14__10_29_11,Sebastian,Bitter,1,1,17,17
ID_7038_38_14__10_29_11,Sebastian,Citrus,0,1,18,18
ID_7038_38_14__10_29_11,Sebastian,Sød,0,1,19,19
ID_7038_38_14__10_29_11,Sebastian,Kaffe,5,1,20,20
ID_7038_38_14__10_29_11,Sebastian,Blomst,0,1,21,21
ID_7038_38_14__10_29_11,Sebastian,Kraftig,4,1,22,22
ID_7038_38_14__10_29_11,Sebastian,Brændt,6,1,23,23
ID_7038_38_14__10_29_11,Sebastian,Tung,2,1,24,24
ID_7038_38_14__10_29_11,Sebastian,Mild,4,1,25,25
ID_7038_38_14__10_29_11,Sebastian,Sprittet,1,1,26,26
ID_7038_38_14__10_29_11,Sebastian,Frugtig,1,1,27,27
ID_7038_38_14__10_29_11,Sebastian,Hav,4,1,28,28
